,Town,Population,Taxable Income,Taxable_Income_Pro_capite,Prov,Regione,Lat,Long,4$_Restaurant,4$_Restaurant_Pro_capite,Pop_rad_15km,4$_Restaurant_Pro_capite_2,Italian_V,Office_V,Café_V,Landmark_V,Art Gallery_V,Tot_Venues,Boutique_V,Bank_V,Gourmet_V,Apparel_V,Church_V,Ice Cream_V,Pharmacy_V,Jewelry_V,Men's Store_V,Salon / Barbershop_V,Women's Store_V,Doctor's Office_V,Accessories_V,Plaza_V,Building_V,Optical_V,Historic Site_V,Food & Drink_V,Convention Center_V,Sandwiches_V,School_V,Adult Boutique_V,Lounge_V,Parking_V,Racetrack_V,Restaurant_V,Hotel_V,Science Museum_V,Government_V,Coffee Shop_V,Mobile Phones_V,Performing Arts_V,Advertising Agency_V,Bakery_V,Newsstand_V,Cosmetics_V,Gift Shop_V,Nail Salon_V,Shoes_V,Music Venue_V,Bar_V,Perfume Shop_V,Candy Store_V,Tattoo_V,Pet Store_V,Tourist Information_V,Shop_V,Convenience Store_V,Tailor_V,Smoke Shop_V,Herbs & Spices Store_V,Toys & Games_V,Market_V,Financial / Legal_V,Baby Store_V,Pizza_V,Office Supplies_V,Kids Store_V,Japanese_V,Wine Bar_V,Town Hall_V,Bookstore_V,Trattoria/Osteria_V,Medical Lab_V,Scenic Lookout_V,Brewery_V,Fabric Shop_V,Butcher_V,Post Office_V,Health & Beauty_V,Driving School_V,Luggage Store_V,Food Truck_V,Recreation Center_V,Diner_V,Dentist's Office_V,Furniture / Home_V,Other Repair_V,Campaign_V,B & B_V,Eye Doctor_V,Art Museum_V,Bike_V,Cocktail_V,Wine Shop_V,Public Art_V,Non-Profit_V,Desserts_V,Dive Bar_V,Travel_V,Bus_V,Palace_V,Beer Bar_V,Theater_V,Park_V,Burgers_V,Playground_V,Train Station_V,Tech Startup_V,Business Services_V,Cineplex_V,Pub_V,Falafel_V,Travel Agency_V,Entertainment_V,Bus Station_V,Fountain_V,Arts & Crafts_V,Event Space_V,Drugstore_V,Fast Food_V,Cemetery_V,Buffet_V,Outdoor Sculpture_V,Museum_V,Concert Hall_V,Winery_V,Coworking Space_V,Spa_V,History Museum_V,Indie Movies_V,Cupcakes_V,Community College_V,Lingerie_V,Hardware_V,Piadineria_V,Martial Arts_V,Electronics_V,Other Outdoors_V,Gym / Fitness_V,Residential_V,Mac & Cheese_V,Library_V,Flower Shop_V,Beer Garden_V,Real Estate_V,Mediterranean_V,Meeting Room_V,Arts & Entertainment_V,Bistro_V,Sporting Goods_V,Grocery Store_V,Farmer's Market_V,Irish_V,Lab_V,Hookah Bar_V,Cultural Center_V,Music Store_V,Snacks_V,Gastropub_V,Pedestrian Street/Plaza_V,Seafood_V,Tea Room_V,Speakeasy_V,Vegetarian / Vegan_V,Hobbies_V,Yogurt_V,Chocolate Shop_V,Police Station_V,Warehouse_V,City Hall_V,Piers_V,Supermarket_V,Housing Development_V,Boat / Ferry_V,Bridal_V,Bridge_V,Opera House_V,Fried Chicken_V,Conference room_V,Harbor / Marina_V,Shrine_V,Chinese_V,Academic Building_V,University_V,Classroom_V,Asian_V,Gay Bar_V,Boarding_V,Food_V,Mexican_V,Fish & Chips_V,Outdoors & Recreation_V,Design_V,High School_V,Arcade_V,Argentinian_V,Student Center_V,Auditorium_V,Department Store_V,Garden_V,Greek_V,Courthouse_V,Lake_V,Mountain_V,Basketball_V,Education_V,Fair_V,Basketball Court_V,Indie_V,Gym_V,Military Base_V,Distributor_V,Medical_V,Arts_V,Laundry_V,Administrative Building_V,Trail_V,Factory_V,Field_V,Bike Shop_V,Food Court_V,Bus Stop_V,Tennis Court_V,Automotive_V,Laundromat_V,Athletics & Sports_V,Vineyard_V,Animal Shelter_V,Steakhouse_V,Gas Station_V,Rock Club_V,Sculpture_V,Car Washes_V,Construction_V,Soccer_V,Soccer Field_V,Comfort Food_V,Dog Run_V,Campground_V,Veterinarians_V,Thrift / Vintage_V,Video Store_V,Photography Lab_V,Movie Theater_V,BBQ_V,Hospital_V,Cafeteria_V,Auto Dealer_V,Tennis_V,Elementary School_V,Shops_V,Rental Car_V,Capitol Building_V,Beach_V,Antiques_V,Temple_V,Health Food Store_V,Gaming Cafe_V,Deli / Bodega_V,Leather Goods_V,Sushi_V,Funeral Home_V,EV Charging_V,Radio Station_V,Board Shop_V,German_V,Exhibit_V,Motorcycle Shop_V,Metro_V,Internet Cafe_V,Hostel_V,Yoga Studio_V,Club_V,Nightlife_V,Breakfast_V,Agriturismo_V,Rest Areas_V,Tanning Salon_V,Emergency Room_V,Massage Studio_V,Castle_V,Discount Store_V,Pool_V,Farm_V,River_V,Professional_V,Middle Eastern_V,Platform_V,Mall_V,Assisted Living_V,Donuts_V,Spiritual_V,Distillery_V,Camera Store_V,Jazz Club_V,Flea Market_V,Motel_V,Creperie_V,Nightclub_V,Fruit & Vegetable Store_V,Comic Shop_V,Mattress Store_V,Middle School_V,Nursery School_V,Indian_V,Residence Hall_V,Frat House_V,Record Shop_V,Cheese Shop_V,Voting Booth_V,Video Games_V,Trade School_V,Bagels_V,Storage_V,Sicilian_V,Tapas_V,Tuscan_V,Lawyer_V,Well_V,Kebab_V,Moroccan_V,Volleyball Court_V,Fish Market_V,IT Services_V,Shoe Repair_V,Friterie_V,Turkish_V,Juice Bar_V,Lighthouse_V,Beer Store_V,Physical Therapist_V,Theme Park_V,Pastry_V,Law School_V,Stationery Store_V,Social Club_V,Warehouse Store_V,Theme Restaurant_V,Noodles_V,Big Box Store_V,Music School_V,Spanish_V,Photo Studio_V,Print Shop_V,Sports Bar_V,American_V,Resort_V,Toll Booth_V,Gluten-free_V,Fire Station_V,Water Park_V,Insurance Office_V,Dance Studio_V,Souvenir Shop_V,Campanian_V,Vacation Rental_V,Puglia_V,Dry Cleaner_V,Betting Shop_V,Salad_V,Casino_V,Bowling Alley_V,Community Center_V,Research Laboratory_V,Recycling_V,Stadium_V,Garden Center_V,Karaoke_V,Beach Bar_V,Pet Service_V,Wings_V,Auto Garage_V,African_V,Light Rail_V,Skate Park_V,Track_V,Preschool_V,Comedy Club_V,Home Services_V,Bathing Area_V,Stables_V,College & Education_V,Corporate Amenity_V,ATM_V,Baseball Field_V,Hot Spring_V,Preserve_V,Alternative Healer_V,Recruiting Agency_V,Sports Club_V,Shipping Store_V,Strip Club_V,Liquor Store_V,Hot Dogs_V,Surf Spot_V,Volcano_V,Hotel Bar_V,Airport_V,Brazilian_V,Daycare_V,Billiards_V,Whisky Bar_V,Food Stand_V,Football_V,Medical School_V,Golf Course_V,Skating Rink_V,Fishing Store_V,Circus_V,Auto Workshop_V,AVG_Altitude,STD_Altitude
0,Torino,870952.0,14985480683.0,17205.862875336414,TO,Piemonte,45.06775510000001,7.682489200000001,38.0,4.363041820904022e-05,1274810.0,2.9808363599281458e-05,0,8,5,1,0,89,8,6,4,4,4,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,70
1,Vercelli,46558.0,742123983.0,15939.773680140901,VC,Piemonte,45.3251557,8.4227666,8.0,0.0001718286867992611,46558.0,0.0001718286867992611,0,7,15,1,0,122,3,1,1,8,1,4,2,5,2,0,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,2,0,2,0,0,1,0,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,6
2,Verona,259608.0,4653082957.0,17923.496028627782,VR,Veneto,45.4384958,10.992412199999999,44.0,0.0001694863024251949,381353.0,0.00011537866491151242,11,3,6,1,4,123,2,1,1,1,0,4,0,0,1,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,4,5,0,0,2,0,0,0,2,1,0,1,0,0,0,3,0,2,0,0,1,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,124
3,Vicenza,111764.0,1920181262.0,17180.677695859133,VI,Veneto,45.5488306,11.5478825,55.0,0.0004921083712107656,182352.0,0.0003016144599455997,6,7,9,0,2,124,1,2,1,2,4,4,3,1,0,5,0,0,0,2,0,1,6,0,0,1,0,0,0,1,0,4,3,0,1,0,3,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,4,0,1,0,0,1,1,0,1,3,0,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,14
4,Belluno,35872.0,665742488.0,18558.83385370205,BL,Veneto,46.1397378,12.2192968,19.0,0.0005296610169491525,46076.0,0.00041236218421738,3,4,6,0,2,126,1,5,1,6,3,1,3,1,0,2,1,1,2,5,1,0,1,1,1,0,0,0,0,0,0,1,1,0,5,0,0,0,1,3,0,2,0,0,1,0,8,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,1,3,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,440
5,Treviso,85760.0,1631977175.0,19029.584596548502,TV,Veneto,45.6658505,12.2455414,42.0,0.0004897388059701492,330947.0,0.00012690853822515388,1,2,7,0,1,117,5,3,0,9,2,1,1,2,5,1,3,1,1,5,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4
6,Venezia,259150.0,4448232490.0,17164.70187150299,VE,Veneto,45.437190799999996,12.3345898,60.0,0.00023152614316033183,304655.0,0.0001969440842920681,18,0,2,0,3,107,0,1,0,1,0,1,0,2,1,0,1,0,0,1,3,0,2,0,0,1,0,0,0,0,0,1,9,0,4,2,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Padova,212395.0,4013323241.0,18895.56364792015,PD,Veneto,45.4077172,11.8734455,49.0,0.00023070222933684883,456778.0,0.00010727311735679038,1,3,3,0,1,128,1,1,1,2,2,6,1,2,0,2,2,0,1,3,1,2,1,0,0,2,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,2,0,0,1,0,8,0,1,0,0,0,3,1,1,1,0,0,0,1,0,10,1,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2
8,Rovigo,51049.0,837847872.0,16412.62065858293,RO,Veneto,45.0698166,11.78882,21.0,0.0004113694685498247,51049.0,0.0004113694685498247,2,7,5,0,3,118,4,3,1,7,1,3,1,1,2,3,3,0,2,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,3,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,1,0,2,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
9,Udine,99051.0,1809869807.0,18272.10030186469,UD,Friuli-Venezia Giulia,46.0622,13.236803,37.0,0.0003735449414947855,113916.0,0.0003248007303627234,4,4,7,0,4,84,0,2,1,1,2,2,0,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,12
