"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",60244639,"p","dato provvisorio"
"001272","Torino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",870952,"p","dato provvisorio"
"002158","Vercelli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",46558,"p","dato provvisorio"
"023091","Verona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",259608,"p","dato provvisorio"
"024116","Vicenza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",111764,"p","dato provvisorio"
"025006","Belluno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",35872,"p","dato provvisorio"
"026086","Treviso","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",85760,"p","dato provvisorio"
"027042","Venezia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",259150,"p","dato provvisorio"
"028060","Padova","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",212395,"p","dato provvisorio"
"029041","Rovigo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",51049,"p","dato provvisorio"
"030129","Udine","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",99051,"p","dato provvisorio"
"031007","Gorizia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",34034,"p","dato provvisorio"
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",203234,"p","dato provvisorio"
"093033","Pordenone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",51714,"p","dato provvisorio"
"008031","Imperia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",42614,"p","dato provvisorio"
